"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000125	022009.300	000.391960	-0.049897	1.674895e-07	0.0e+00	00:00:20.031"
"000000126	022009.375	000.349417	-0.048600	1.491451e-07	0.0e+00	00:00:20.188"
"000000127	022009.450	000.462702	-0.046902	1.972136e-07	0.0e+00	00:00:20.360"
"000000128	022009.525	000.586744	-0.045661	2.498189e-07	0.0e+00	00:00:20.516"
"000000129	022009.600	000.529396	-0.044260	2.251333e-07	0.0e+00	00:00:20.672"
"000000130	022009.675	000.416323	-0.042846	1.768344e-07	0.0e+00	00:00:20.844"
"000000131	022009.750	000.367203	-0.041472	1.557890e-07	0.0e+00	00:00:21.000"
"000000132	022009.825	000.517115	-0.040940	2.192914e-07	0.0e+00	00:00:21.156"
"000000133	022009.900	000.388244	-0.039957	1.645044e-07	0.0e+00	00:00:21.328"
"000000134	022009.975	000.391662	-0.039049	1.658249e-07	0.0e+00	00:00:21.485"
"000000135	022010.050	000.390973	-0.037720	1.653470e-07	0.0e+00	00:00:21.641"
"000000136	022010.125	000.448322	-0.036922	1.894728e-07	0.0e+00	00:00:21.813"
"000000137	022010.200	000.355720	-0.036089	1.502310e-07	0.0e+00	00:00:21.969"
"000000138	022010.275	000.488588	-0.034643	2.060931e-07	0.0e+00	00:00:22.125"
"000000139	022010.350	000.375782	-0.033254	1.583245e-07	0.0e+00	00:00:22.297"
"000000140	022010.425	000.406415	-0.032148	1.710715e-07	0.0e+00	00:00:22.453"
"000000141	022010.500	000.360521	-0.031664	1.516917e-07	0.0e+00	00:00:22.610"
"000000142	022010.575	000.300537	-0.030542	1.263335e-07	0.0e+00	00:00:22.781"
"000000143	022010.650	000.430104	-0.029102	1.805796e-07	0.0e+00	00:00:22.938"
"000000144	022010.725	000.331624	-0.028324	1.391417e-07	0.0e+00	00:00:23.094"
"000000145	022010.800	000.292688	-0.027810	1.227522e-07	0.0e+00	00:00:23.266"
"000000146	022010.875	000.417155	-0.026790	1.748038e-07	0.0e+00	00:00:23.422"
"000000147	022010.950	000.392880	-0.025873	1.645053e-07	0.0e+00	00:00:23.578"
"000000148	022011.025	000.396858	-0.024802	1.660217e-07	0.0e+00	00:00:23.750"
"000000149	022011.100	000.470731	-0.024048	1.968017e-07	0.0e+00	00:00:23.906"
"000000150	022011.175	000.503650	-0.023661	2.104963e-07	0.0e+00	00:00:24.063"
"000000151	022011.250	000.516414	-0.022501	2.156218e-07	0.0e+00	00:00:24.235"
"000000152	022011.325	000.510533	-0.021082	2.129140e-07	0.0e+00	00:00:24.391"
"000000153	022011.400	000.507809	-0.020211	2.116244e-07	0.0e+00	00:00:24.547"
"000000154	022011.475	000.648063	-0.019486	2.699107e-07	0.0e+00	00:00:24.719"
"000000155	022011.550	000.686468	-0.018657	2.857086e-07	0.0e+00	00:00:24.875"
"000000156	022011.625	000.638552	-0.017198	2.654435e-07	0.0e+00	00:00:25.031"
"000000157	022011.700	000.531076	-0.016083	2.205616e-07	0.0e+00	00:00:25.203"
"000000158	022011.775	000.554176	-0.015607	2.300646e-07	0.0e+00	00:00:25.360"
"000000159	022011.850	000.747785	-0.014772	3.102255e-07	0.0e+00	00:00:25.516"
"000000160	022011.925	000.769200	-0.014034	3.189145e-07	0.0e+00	00:00:25.688"
"000000161	022012.000	000.620069	-0.012665	2.567926e-07	0.0e+00	00:00:25.844"
"000000162	022012.075	000.689859	-0.012502	2.856561e-07	0.0e+00	00:00:26.000"
"000000163	022012.150	000.594485	-0.011748	2.460102e-07	0.0e+00	00:00:26.172"
"000000164	022012.225	000.491169	-0.011254	2.031729e-07	0.0e+00	00:00:26.328"
"000000165	022012.300	000.517910	-0.010217	2.140507e-07	0.0e+00	00:00:26.485"
"000000166	022012.375	000.788929	-0.009323	3.258214e-07	0.0e+00	00:00:26.656"
"000000167	022012.450	000.661157	-0.008794	2.729334e-07	0.0e+00	00:00:26.813"
"000000168	022012.525	000.484040	-0.007965	1.996807e-07	0.0e+00	00:00:26.969"
"000000169	022012.600	000.625407	-0.006885	2.577689e-07	0.0e+00	00:00:27.141"
"000000170	022012.675	000.496177	-0.005515	2.042744e-07	0.0e+00	00:00:27.297"
"000000171	022012.750	000.498018	-0.004729	2.049001e-07	0.0e+00	00:00:27.453"
"000000172	022012.825	000.436146	-0.004544	1.794166e-07	0.0e+00	00:00:27.625"
"000000173	022012.900	000.375029	-0.003890	1.541922e-07	0.0e+00	00:00:27.781"
"000000174	022012.975	000.226258	-0.002710	9.293528e-08	0.0e+00	00:00:27.938"
"000000175	022013.050	000.310106	-0.001927	1.272937e-07	0.0e+00	00:00:28.110"
"000000176	022013.125	000.286034	-0.001814	1.174015e-07	0.0e+00	00:00:28.266"
"000000177	022013.200	000.403686	-0.001154	1.656017e-07	0.0e+00	00:00:28.422"
"000000178	022013.275	000.272982	-0.000569	1.119302e-07	0.0e+00	00:00:28.594"
"000000179	022013.350	000.357326	0.000629	1.463697e-07	0.0e+00	00:00:28.750"
"000000180	022013.425	000.407600	0.001079	1.669017e-07	0.0e+00	00:00:28.906"
"000000181	022013.500	000.229054	0.001559	9.375488e-08	0.0e+00	00:00:29.078"
"000000182	022013.575	000.215829	0.002083	8.830368e-08	0.0e+00	00:00:29.235"
"000000183	022013.650	000.407459	0.003577	1.665033e-07	0.0e+00	00:00:29.391"
"000000184	022013.725	000.340946	0.004591	1.392079e-07	0.0e+00	00:00:29.563"
"000000185	022013.800	000.343227	0.004939	1.400995e-07	0.0e+00	00:00:29.719"
"000000186	022013.875	000.383548	0.005504	1.564857e-07	0.0e+00	00:00:29.875"
"000000187	022013.950	000.402987	0.006108	1.643358e-07	0.0e+00	00:00:30.047"
"000000188	022014.025	000.194687	0.007106	7.932788e-08	0.0e+00	00:00:30.203"
"000000189	022014.100	000.251235	0.007630	1.023251e-07	0.0e+00	00:00:30.360"
"000000190	022014.175	000.200105	0.007768	8.149154e-08	0.0e+00	00:00:30.531"
"000000191	022014.250	000.402628	0.007988	1.639381e-07	0.0e+00	00:00:30.688"
"000000192	022014.325	000.473414	0.009091	1.925871e-07	0.0e+00	00:00:30.844"
"000000193	022014.400	000.476170	0.009625	1.936240e-07	0.0e+00	00:00:31.016"
"000000194	022014.475	000.559021	0.009992	2.272457e-07	0.0e+00	00:00:31.172"
"000000195	022014.550	000.504491	0.010132	2.050558e-07	0.0e+00	00:00:31.328"
"000000196	022014.625	000.595866	0.010649	2.420943e-07	0.0e+00	00:00:31.500"
"000000197	022014.700	000.661696	0.011540	2.686456e-07	0.0e+00	00:00:31.656"
"000000198	022014.775	000.723939	0.011617	2.938980e-07	0.0e+00	00:00:31.813"
"000000199	022014.850	000.843156	0.011185	3.424165e-07	0.0e+00	00:00:31.985"
"000000200	022014.925	000.834875	0.011415	3.389900e-07	0.0e+00	00:00:32.141"
"000000201	022015.000	000.866891	0.012296	3.517383e-07	0.0e+00	00:00:32.297"
"000000202	022015.075	000.974747	0.013332	3.951681e-07	0.0e+00	00:00:32.469"
"000000203	022015.150	000.957628	0.014171	3.879640e-07	0.0e+00	00:00:32.625"
"000000204	022015.225	000.858319	0.014629	3.476021e-07	0.0e+00	00:00:32.781"
"000000205	022015.300	000.876479	0.015671	3.546569e-07	0.0e+00	00:00:32.938"
"000000206	022015.375	000.913094	0.016265	3.692957e-07	0.0e+00	00:00:33.110"
"000000207	022015.450	000.843344	0.016875	3.409172e-07	0.0e+00	00:00:33.266"
"000000208	022015.525	000.841600	0.017147	3.401375e-07	0.0e+00	00:00:33.438"
"000000209	022015.600	000.663830	0.017594	2.681940e-07	0.0e+00	00:00:33.594"
"000000210	022015.675	000.619064	0.018445	2.499359e-07	0.0e+00	00:00:33.750"
"000000211	022015.750	000.577101	0.019281	2.328368e-07	0.0e+00	00:00:33.922"
"000000212	022015.825	000.588858	0.019939	2.374545e-07	0.0e+00	00:00:34.078"
"000000213	022015.900	000.425415	0.020754	1.714341e-07	0.0e+00	00:00:34.235"
