"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000004313	022323.400	000.941138	0.348818	2.999513e-07	0.0e+00	00:12:07.188"
"000004314	022323.475	001.020934	0.347677	3.256202e-07	0.0e+00	00:12:07.344"
"000004315	022323.550	001.044318	0.345928	3.334502e-07	0.0e+00	00:12:07.516"
"000004316	022323.625	000.920262	0.344854	2.940408e-07	0.0e+00	00:12:07.672"
"000004317	022323.700	001.139192	0.344015	3.641882e-07	0.0e+00	00:12:07.844"
"000004318	022323.775	001.107748	0.342936	3.543805e-07	0.0e+00	00:12:08.000"
"000004319	022323.850	001.122946	0.341617	3.595459e-07	0.0e+00	00:12:08.172"
"000004320	022323.925	001.042700	0.340334	3.341271e-07	0.0e+00	00:12:08.328"
"000004321	022324.000	001.256909	0.339586	4.029624e-07	0.0e+00	00:12:08.500"
"000004322	022324.075	001.104304	0.338521	3.542794e-07	0.0e+00	00:12:08.656"
"000004323	022324.150	001.291524	0.337388	4.146444e-07	0.0e+00	00:12:08.828"
"000004324	022324.225	001.153961	0.335645	3.708946e-07	0.0e+00	00:12:08.985"
"000004325	022324.300	001.292053	0.334234	4.156560e-07	0.0e+00	00:12:09.156"
"000004326	022324.375	001.292630	0.333565	4.160204e-07	0.0e+00	00:12:09.313"
"000004327	022324.450	001.309144	0.332477	4.216308e-07	0.0e+00	00:12:09.485"
"000004328	022324.525	001.187678	0.330407	3.830214e-07	0.0e+00	00:12:09.641"
"000004329	022324.600	001.154927	0.328981	3.728019e-07	0.0e+00	00:12:09.813"
"000004330	022324.675	001.268338	0.328312	4.095875e-07	0.0e+00	00:12:09.985"
"000004331	022324.750	001.287803	0.326926	4.162460e-07	0.0e+00	00:12:10.141"
"000004332	022324.825	001.303390	0.324904	4.218353e-07	0.0e+00	00:12:10.313"
"000004333	022324.900	001.359734	0.323581	4.404478e-07	0.0e+00	00:12:10.469"
"000004334	022324.975	001.286517	0.322643	4.169847e-07	0.0e+00	00:12:10.641"
"000004335	022325.050	001.278659	0.321135	4.148433e-07	0.0e+00	00:12:10.797"
"000004336	022325.125	001.354481	0.319280	4.399724e-07	0.0e+00	00:12:10.969"
"000004337	022325.200	001.314150	0.317704	4.273091e-07	0.0e+00	00:12:11.125"
"000004338	022325.275	001.362140	0.315985	4.434092e-07	0.0e+00	00:12:11.297"
"000004339	022325.350	001.436943	0.315023	4.680527e-07	0.0e+00	00:12:11.453"
"000004340	022325.425	001.412807	0.313513	4.606440e-07	0.0e+00	00:12:11.625"
"000004341	022325.500	001.509674	0.311322	4.929316e-07	0.0e+00	00:12:11.781"
"000004342	022325.575	001.430595	0.309541	4.676547e-07	0.0e+00	00:12:11.953"
"000004343	022325.650	001.409790	0.308527	4.611597e-07	0.0e+00	00:12:12.110"
"000004344	022325.725	001.613200	0.307189	5.281600e-07	0.0e+00	00:12:12.281"
"000004345	022325.800	001.606588	0.305298	5.266472e-07	0.0e+00	00:12:12.438"
"000004346	022325.875	001.710049	0.303227	5.613244e-07	0.0e+00	00:12:12.610"
"000004347	022325.950	001.639215	0.301907	5.385397e-07	0.0e+00	00:12:12.766"
"000004348	022326.025	001.866535	0.300439	6.138144e-07	0.0e+00	00:12:12.938"
"000004349	022326.100	001.782183	0.298801	5.867074e-07	0.0e+00	00:12:13.094"
"000004350	022326.175	001.719862	0.296614	5.670070e-07	0.0e+00	00:12:13.266"
"000004351	022326.250	001.793921	0.294365	5.923014e-07	0.0e+00	00:12:13.438"
"000004352	022326.325	001.786494	0.293266	5.902776e-07	0.0e+00	00:12:13.594"
"000004353	022326.400	001.806065	0.291218	5.975525e-07	0.0e+00	00:12:13.766"
"000004354	022326.475	001.934977	0.289381	6.409835e-07	0.0e+00	00:12:13.922"
"000004355	022326.550	001.990949	0.287623	6.602938e-07	0.0e+00	00:12:14.094"
"000004356	022326.625	001.857140	0.285826	6.166516e-07	0.0e+00	00:12:14.250"
"000004357	022326.700	001.917883	0.283975	6.376047e-07	0.0e+00	00:12:14.422"
"000004358	022326.775	002.067463	0.282451	6.880304e-07	0.0e+00	00:12:14.578"
"000004359	022326.850	002.006898	0.280188	6.688824e-07	0.0e+00	00:12:14.750"
"000004360	022326.925	002.020605	0.277911	6.744744e-07	0.0e+00	00:12:14.906"
"000004361	022327.000	002.033604	0.276843	6.792978e-07	0.0e+00	00:12:15.078"
"000004362	022327.075	002.156327	0.274981	7.211887e-07	0.0e+00	00:12:15.235"
"000004363	022327.150	002.196550	0.272567	7.358296e-07	0.0e+00	00:12:15.406"
"000004364	022327.225	002.267596	0.270407	7.607305e-07	0.0e+00	00:12:15.563"
"000004365	022327.300	002.133336	0.269129	7.163031e-07	0.0e+00	00:12:15.735"
"000004366	022327.375	002.254925	0.267391	7.580134e-07	0.0e+00	00:12:15.891"
"000004367	022327.450	002.234510	0.264820	7.524514e-07	0.0e+00	00:12:16.063"
"000004368	022327.525	002.318075	0.262925	7.815885e-07	0.0e+00	00:12:16.219"
"000004369	022327.600	002.344068	0.260909	7.914286e-07	0.0e+00	00:12:16.391"
"000004370	022327.675	002.380877	0.258926	8.049346e-07	0.0e+00	00:12:16.563"
"000004371	022327.750	002.316672	0.257099	7.841966e-07	0.0e+00	00:12:16.719"
"000004372	022327.825	002.444481	0.254878	8.287065e-07	0.0e+00	00:12:16.875"
"000004373	022327.900	002.307660	0.252898	7.833738e-07	0.0e+00	00:12:17.047"
"000004374	022327.975	002.364206	0.251017	8.035956e-07	0.0e+00	00:12:17.219"
"000004375	022328.050	002.340132	0.249044	7.964811e-07	0.0e+00	00:12:17.375"
"000004376	022328.125	002.431204	0.246795	8.287470e-07	0.0e+00	00:12:17.547"
"000004377	022328.200	002.336880	0.244610	7.977826e-07	0.0e+00	00:12:17.703"
"000004378	022328.275	002.439211	0.242406	8.339718e-07	0.0e+00	00:12:17.875"
"000004379	022328.350	002.228276	0.241036	7.625672e-07	0.0e+00	00:12:18.031"
"000004380	022328.425	002.307370	0.238917	7.907819e-07	0.0e+00	00:12:18.203"
"000004381	022328.500	002.191668	0.236139	7.525611e-07	0.0e+00	00:12:18.360"
"000004382	022328.575	002.257423	0.233945	7.763095e-07	0.0e+00	00:12:18.531"
"000004383	022328.650	002.127584	0.232493	7.323906e-07	0.0e+00	00:12:18.688"
"000004384	022328.725	002.213920	0.230265	7.632812e-07	0.0e+00	00:12:18.860"
"000004385	022328.800	002.133578	0.227626	7.369227e-07	0.0e+00	00:12:19.016"
"000004386	022328.875	002.046976	0.225621	7.079916e-07	0.0e+00	00:12:19.188"
"000004387	022328.950	002.123869	0.223635	7.355979e-07	0.0e+00	00:12:19.344"
"000004388	022329.025	002.202318	0.221608	7.638406e-07	0.0e+00	00:12:19.516"
"000004389	022329.100	002.056225	0.219429	7.142501e-07	0.0e+00	00:12:19.672"
"000004390	022329.175	002.279877	0.217131	7.932043e-07	0.0e+00	00:12:19.844"
"000004391	022329.250	002.169551	0.214966	7.559592e-07	0.0e+00	00:12:20.016"
"000004392	022329.325	002.251064	0.212869	7.855090e-07	0.0e+00	00:12:20.172"
"000004393	022329.400	002.304447	0.211200	8.050749e-07	0.0e+00	00:12:20.344"
"000004394	022329.475	002.305845	0.208635	8.070097e-07	0.0e+00	00:12:20.453"
"000004395	022329.550	002.455318	0.206278	8.607435e-07	0.0e+00	00:12:20.672"
"000004396	022329.625	002.467616	0.204387	8.662029e-07	0.0e+00	00:12:20.828"
"000004397	022329.700	002.384124	0.202446	8.380366e-07	0.0e+00	00:12:21.000"
"000004398	022329.775	002.607210	0.200092	9.179725e-07	0.0e+00	00:12:21.156"
"000004399	022329.850	002.531448	0.197575	8.928796e-07	0.0e+00	00:12:21.328"
"000004400	022329.925	002.656326	0.195616	9.382227e-07	0.0e+00	00:12:21.485"
"000004401	022330.000	002.718403	0.193777	9.613971e-07	0.0e+00	00:12:21.656"
"000004402	022330.075	002.679742	0.191382	9.493329e-07	0.0e+00	00:12:21.813"
"000004403	022330.150	002.730996	0.188620	9.693874e-07	0.0e+00	00:12:21.985"
"000004404	022330.225	002.782339	0.186679	9.889743e-07	0.0e+00	00:12:22.141"
"000004405	022330.300	002.724554	0.184660	9.698268e-07	0.0e+00	00:12:22.313"
"000004406	022330.375	002.759738	0.182315	9.839938e-07	0.0e+00	00:12:22.469"
"000004407	022330.450	002.801694	0.179840	1.000719e-06	0.0e+00	00:12:22.641"
"000004408	022330.525	002.876470	0.177694	1.029006e-06	0.0e+00	00:12:22.797"
"000004409	022330.600	002.714092	0.175793	9.722401e-07	0.0e+00	00:12:22.969"
"000004410	022330.675	002.787266	0.173581	1.000038e-06	0.0e+00	00:12:23.141"
"000004411	022330.750	002.808810	0.171254	1.009453e-06	0.0e+00	00:12:23.297"
"000004412	022330.825	002.765677	0.168823	9.956910e-07	0.0e+00	00:12:23.469"
"000004413	022330.900	002.691901	0.166581	9.706971e-07	0.0e+00	00:12:23.625"
"000004414	022330.975	002.737559	0.164800	9.884309e-07	0.0e+00	00:12:23.797"
"000004415	022331.050	002.802749	0.162760	1.013461e-06	0.0e+00	00:12:23.953"
"000004416	022331.125	002.691422	0.159864	9.752488e-07	0.0e+00	00:12:24.125"
"000004417	022331.200	002.787967	0.157452	1.012002e-06	0.0e+00	00:12:24.281"
"000004418	022331.275	002.755545	0.156007	1.001283e-06	0.0e+00	00:12:24.453"
"000004419	022331.350	002.686800	0.153764	9.778973e-07	0.0e+00	00:12:24.610"
"000004420	022331.425	002.754029	0.150996	1.004390e-06	0.0e+00	00:12:24.781"
