"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000109	022008.100	000.704421	-0.101637	3.149340e-07	0.0e+00	00:00:16.766"
"000000110	022008.175	000.513149	-0.100748	2.292374e-07	0.0e+00	00:00:16.922"
"000000111	022008.250	000.563745	-0.099341	2.515238e-07	0.0e+00	00:00:17.078"
"000000112	022008.325	000.464419	-0.097862	2.069351e-07	0.0e+00	00:00:17.235"
"000000113	022008.400	000.527416	-0.096211	2.346599e-07	0.0e+00	00:00:17.391"
"000000114	022008.475	000.469441	-0.094826	2.086080e-07	0.0e+00	00:00:17.547"
"000000115	022008.550	000.425953	-0.093584	1.890745e-07	0.0e+00	00:00:17.703"
"000000116	022008.625	000.431588	-0.092360	1.913679e-07	0.0e+00	00:00:17.860"
"000000117	022008.700	000.387801	-0.090567	1.716796e-07	0.0e+00	00:00:18.016"
"000000118	022008.775	000.345444	-0.089227	1.527470e-07	0.0e+00	00:00:18.172"
"000000119	022008.850	000.279420	-0.087915	1.234095e-07	0.0e+00	00:00:18.328"
"000000120	022008.925	000.382336	-0.087163	1.687517e-07	0.0e+00	00:00:18.485"
"000000121	022009.000	000.438688	-0.085783	1.933879e-07	0.0e+00	00:00:18.641"
"000000122	022009.075	000.438128	-0.084016	1.928406e-07	0.0e+00	00:00:18.797"
"000000123	022009.150	000.493207	-0.082850	2.168610e-07	0.0e+00	00:00:18.953"
"000000124	022009.225	000.583841	-0.081637	2.564390e-07	0.0e+00	00:00:19.110"
"000000125	022009.300	000.619919	-0.080372	2.719833e-07	0.0e+00	00:00:19.266"
"000000126	022009.375	000.782898	-0.078813	3.430193e-07	0.0e+00	00:00:19.422"
"000000127	022009.450	000.842070	-0.077299	3.684560e-07	0.0e+00	00:00:19.578"
"000000128	022009.525	000.969898	-0.076048	4.239241e-07	0.0e+00	00:00:19.735"
"000000129	022009.600	000.847886	-0.074969	3.702458e-07	0.0e+00	00:00:19.891"
"000000130	022009.675	000.913205	-0.074360	3.985569e-07	0.0e+00	00:00:20.047"
"000000131	022009.750	000.922632	-0.072399	4.019829e-07	0.0e+00	00:00:20.203"
"000000132	022009.825	000.764039	-0.071106	3.325103e-07	0.0e+00	00:00:20.344"
